model,effective_kv,prompt_tokens,qbs_candidate_compute_nodes,qbs_profiles,qbs_operations,qbs_dot_elements,qbs_weight_logical_bytes,qbs_weight_unique_tensor_bytes,qbs_activation_logical_bytes_without_cross_op_reuse,akv_candidate_compute_nodes,akv_shape_eligible_compute_nodes,akv_shape_fallback_compute_nodes,akv_shape_eligible_groups,attention_candidate_query_payload_logical_bytes,attention_candidate_kv_payload_logical_bytes,attention_candidate_macs,akv_shape_eligible_query_payload_logical_bytes,akv_shape_eligible_kv_payload_logical_bytes,akv_shape_eligible_attention_macs,ordinary_rvv_compute_nodes_if_akv_shape_selected,ordinary_rvv_compute_nodes_without_akv,status,artifact
qwen25_1p5b_q4km,16,15,197,Q4_K/Q6_K,MUL_MAT:197,1543569408,979517952,979517952,582248,28,28,0,56,86016,458752,1376256,86016,458752,1376256,340,368,PASS,hardware/akv_context_census_generalized_20260901_r4/qwen25_1p5b_q4km/kv16/summary.json
qwen25_1p5b_q4km,128,127,197,Q4_K/Q6_K,MUL_MAT:197,1543569408,979517952,979517952,582248,28,28,0,56,86016,3670016,11010048,86016,3670016,11010048,340,368,PASS,hardware/akv_context_census_generalized_20260901_r4/qwen25_1p5b_q4km/kv128/summary.json
qwen25_1p5b_q4km,512,511,197,Q4_K/Q6_K,MUL_MAT:197,1543569408,979517952,979517952,582248,28,28,0,56,86016,14680064,44040192,86016,14680064,44040192,340,368,PASS,hardware/akv_context_census_generalized_20260901_r4/qwen25_1p5b_q4km/kv512/summary.json
qwen25_1p5b_q4km,1024,1023,197,Q4_K/Q6_K,MUL_MAT:197,1543569408,979517952,979517952,582248,28,28,0,56,86016,29360128,88080384,86016,29360128,88080384,340,368,PASS,hardware/akv_context_census_generalized_20260901_r4/qwen25_1p5b_q4km/kv1024/summary.json
tinyllama_1p1b_q4km,16,15,155,Q4_K/Q6_K,MUL_MAT:155,1034420224,629846016,629846016,452016,22,22,0,88,90112,360448,1441792,90112,360448,1441792,202,224,PASS,hardware/akv_context_census_generalized_20260901_r4/tinyllama_1p1b_q4km/kv16/summary.json
tinyllama_1p1b_q4km,128,127,155,Q4_K/Q6_K,MUL_MAT:155,1034420224,629846016,629846016,452016,22,22,0,88,90112,2883584,11534336,90112,2883584,11534336,202,224,PASS,hardware/akv_context_census_generalized_20260901_r4/tinyllama_1p1b_q4km/kv128/summary.json
tinyllama_1p1b_q4km,512,511,155,Q4_K/Q6_K,MUL_MAT:155,1034420224,629846016,629846016,452016,22,22,0,88,90112,11534336,46137344,90112,11534336,46137344,202,224,PASS,hardware/akv_context_census_generalized_20260901_r4/tinyllama_1p1b_q4km/kv512/summary.json
tinyllama_1p1b_q4km,1024,1023,155,Q4_K/Q6_K,MUL_MAT:155,1034420224,629846016,629846016,452016,22,22,0,88,90112,23068672,92274688,90112,23068672,92274688,202,224,PASS,hardware/akv_context_census_generalized_20260901_r4/tinyllama_1p1b_q4km/kv1024/summary.json
smollm2_135m_q4km,16,15,211,Q4_K/Q5_0/Q6_K/Q8_0,MUL_MAT:211,134479872,103527936,103527936,163332,30,30,0,90,34560,368640,552960,34560,368640,552960,274,304,PASS,hardware/akv_context_census_generalized_20260901_r4/smollm2_135m_q4km/kv16/summary.json
smollm2_135m_q4km,128,127,211,Q4_K/Q5_0/Q6_K/Q8_0,MUL_MAT:211,134479872,103527936,103527936,163332,30,30,0,90,34560,2949120,4423680,34560,2949120,4423680,274,304,PASS,hardware/akv_context_census_generalized_20260901_r4/smollm2_135m_q4km/kv128/summary.json
