phase,category,instances,projected_cycles,share_of_calibrated_cycles
decode,akv_v2,28,862958,0.008412111112961064
decode,qbs,197,98021406,0.9555122714207045
decode,rvv_activation,28,1306788,0.012738564167762699
decode,rvv_bias,84,62272,0.0006070272055260064
decode,rvv_cache_update,56,18760,0.00018287240454245695
decode,rvv_norm,57,1193466,0.011633901767572917
decode,rvv_residual,56,80528,0.0007849866200956809
decode,rvv_rope,56,1015868,0.009902677177917733
decode,rvv_row_gather,3,23142,0.00022558812291692638
prefill,qbs,197,186469736,1.0
