phase,category,instances,projected_cycles,share_of_calibrated_cycles
decode,akv_v2,28,862958,0.0084921112319571
decode,qbs,197,97055000,0.9550891881384683
decode,rvv_activation,28,1306788,0.01285970933995253
decode,rvv_bias,84,62272,0.0006128001022488146
decode,rvv_cache_update,56,18760,0.00018461154159474182
decode,rvv_norm,57,1193466,0.011744541476594357
decode,rvv_residual,56,80528,0.0007924519307857872
decode,rvv_rope,56,1015868,0.00999685274716243
decode,rvv_row_gather,3,23142,0.00022773349123590166
prefill,qbs,197,186458166,1.0
