model,model_name,architecture,topology,model_quantization,qbs_weight_profiles_in_graph,effective_kv_target,chunk_index,chunk_count,M_query_tokens,P_past_tokens,visible_kv_end,kv_capacity,head_dim,q_heads,kv_heads,gqa_rows,attention_nodes,q_type,k_type,v_type,mask_type,output_type,q_shape_D_M_Hq_B,k_shape_D_K_Hkv_B,v_shape_D_K_Hkv_B,mask_shape_K_M_1_1,output_shape_D_Hq_M_B,layout_evidence,mask_semantics,visible_pairs_per_q_head,qk_macs,pv_macs,attention_macs,query_payload_bytes,visible_kv_payload_bytes,fast_path_disposition,status
qwen25_1p5b_q4km,Qwen2.5-1.5B-Instruct-Q4_K_M,qwen2,dense,Q4_K_M,Q4_K/Q6_K,16,0,1,15,0,15,256,128,12,2,6,28,F32,F16,F16,F16,F32,128x15x12x1,128x256x2x1,128x256x2x1,256x15x1x1,128x12x15x1,GGML_shape_observed_byte_strides_not_traced,causal_prefix_inferred_payload_not_traced,120,184320,184320,368640,92160,15360,candidate,PASS
qwen25_1p5b_q4km,Qwen2.5-1.5B-Instruct-Q4_K_M,qwen2,dense,Q4_K_M,Q4_K/Q6_K,128,0,1,127,0,127,256,128,12,2,6,28,F32,F16,F16,F16,F32,128x127x12x1,128x256x2x1,128x256x2x1,256x127x1x1,128x12x127x1,GGML_shape_observed_byte_strides_not_traced,causal_prefix_inferred_payload_not_traced,8128,12484608,12484608,24969216,780288,130048,candidate,PASS
qwen25_1p5b_q4km,Qwen2.5-1.5B-Instruct-Q4_K_M,qwen2,dense,Q4_K_M,Q4_K/Q6_K,512,0,1,511,0,511,512,128,12,2,6,28,F32,F16,F16,F16,F32,128x511x12x1,128x512x2x1,128x512x2x1,512x511x1x1,128x12x511x1,GGML_shape_observed_byte_strides_not_traced,causal_prefix_inferred_payload_not_traced,130816,200933376,200933376,401866752,3139584,523264,candidate,PASS
qwen25_1p5b_q4km,Qwen2.5-1.5B-Instruct-Q4_K_M,qwen2,dense,Q4_K_M,Q4_K/Q6_K,1024,0,2,512,0,512,512,128,12,2,6,28,F32,F16,F16,F16,F32,128x512x12x1,128x512x2x1,128x512x2x1,512x512x1x1,128x12x512x1,GGML_shape_observed_byte_strides_not_traced,causal_prefix_inferred_payload_not_traced,131328,201719808,201719808,403439616,3145728,524288,candidate,PASS
qwen25_1p5b_q4km,Qwen2.5-1.5B-Instruct-Q4_K_M,qwen2,dense,Q4_K_M,Q4_K/Q6_K,1024,1,2,511,512,1023,1024,128,12,2,6,28,F32,F16,F16,F16,F32,128x511x12x1,128x1024x2x1,128x1024x2x1,1024x511x1x1,128x12x511x1,GGML_shape_observed_byte_strides_not_traced,causal_prefix_inferred_payload_not_traced,392448,602800128,602800128,1205600256,3139584,1047552,candidate,PASS
tinyllama_1p1b_q4km,TinyLlama-1.1B-Chat-Q4_K_M,llama,dense,Q4_K_M,Q4_K/Q6_K,16,0,1,15,0,15,256,64,32,4,8,22,F32,F16,F16,F16,F32,64x15x32x1,64x256x4x1,64x256x4x1,256x15x1x1,64x32x15x1,GGML_shape_observed_byte_strides_not_traced,causal_prefix_inferred_payload_not_traced,120,245760,245760,491520,122880,15360,candidate,PASS
tinyllama_1p1b_q4km,TinyLlama-1.1B-Chat-Q4_K_M,llama,dense,Q4_K_M,Q4_K/Q6_K,128,0,1,127,0,127,256,64,32,4,8,22,F32,F16,F16,F16,F32,64x127x32x1,64x256x4x1,64x256x4x1,256x127x1x1,64x32x127x1,GGML_shape_observed_byte_strides_not_traced,causal_prefix_inferred_payload_not_traced,8128,16646144,16646144,33292288,1040384,130048,candidate,PASS
tinyllama_1p1b_q4km,TinyLlama-1.1B-Chat-Q4_K_M,llama,dense,Q4_K_M,Q4_K/Q6_K,512,0,1,511,0,511,512,64,32,4,8,22,F32,F16,F16,F16,F32,64x511x32x1,64x512x4x1,64x512x4x1,512x511x1x1,64x32x511x1,GGML_shape_observed_byte_strides_not_traced,causal_prefix_inferred_payload_not_traced,130816,267911168,267911168,535822336,4186112,523264,candidate,PASS
tinyllama_1p1b_q4km,TinyLlama-1.1B-Chat-Q4_K_M,llama,dense,Q4_K_M,Q4_K/Q6_K,1024,0,2,512,0,512,512,64,32,4,8,22,F32,F16,F16,F16,F32,64x512x32x1,64x512x4x1,64x512x4x1,512x512x1x1,64x32x512x1,GGML_shape_observed_byte_strides_not_traced,causal_prefix_inferred_payload_not_traced,131328,268959744,268959744,537919488,4194304,524288,candidate,PASS
tinyllama_1p1b_q4km,TinyLlama-1.1B-Chat-Q4_K_M,llama,dense,Q4_K_M,Q4_K/Q6_K,1024,1,2,511,512,1023,1024,64,32,4,8,22,F32,F16,F16,F16,F32,64x511x32x1,64x1024x4x1,64x1024x4x1,1024x511x1x1,64x32x511x1,GGML_shape_observed_byte_strides_not_traced,causal_prefix_inferred_payload_not_traced,392448,803733504,803733504,1607467008,4186112,1047552,candidate,PASS
