kernel,avl,result,task_cycles,cyc_per_elem,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
vspf_m1k1_hdv,16,PASSED,621,38.812,689,198,0,3,49,0,32,32,1,17,0,49,49,49,49,32,0,0,0,131,18,17,613,113,82,65,5,17,16,15,16,308,16,128,2048,0,0,16,0,0,0,0,0,0,0,64,32,32,1,0,0,24,0,.937
vspf_m1k1_hdv,64,PASSED,2397,37.453,2465,774,0,3,193,0,128,128,1,65,0,193,193,193,193,128,0,0,0,515,66,65,2389,449,322,257,5,65,64,63,64,1220,64,128,8192,0,0,64,0,0,0,0,0,0,0,256,128,128,1,0,0,96,0,.984
vspf_m1k2_hdv,16,PASSED,749,46.812,817,246,0,4,65,0,48,48,1,17,0,65,65,65,65,48,0,0,0,147,18,17,741,129,98,81,5,64,32,0,32,436,16,4096,4096,0,0,32,0,0,0,0,0,0,0,80,48,32,1,0,0,48,0,0
vspf_m1k2_hdv,64,PASSED,2909,45.453,2977,966,0,4,257,0,192,192,1,65,0,257,257,257,257,192,0,0,0,579,66,65,2901,513,386,321,5,256,128,0,128,1732,64,16384,16384,0,0,128,0,0,0,0,0,0,0,320,192,128,1,0,0,192,0,0
vspf_m1k4_hdv,16,PASSED,1261,78.812,1329,438,0,2,129,0,80,80,1,49,0,129,129,129,129,80,0,0,0,211,18,17,1253,193,162,145,6,128,64,0,64,948,16,8192,8192,0,18,64,0,0,0,0,0,0,0,144,80,64,18,32,0,80,0,0
vspf_m1k4_hdv,64,PASSED,4957,77.453,5025,1734,0,2,513,0,320,320,1,193,0,513,513,513,513,320,0,0,0,835,66,65,4949,769,642,577,6,512,256,0,256,3780,64,32768,32768,0,66,256,0,0,0,0,0,0,0,576,320,256,66,128,0,320,0,0
vspf_m2k2_hdv,16,FAILED,2053,128.312,,246,,,,,,,,,,,,,,,,,,147,18,17,1022,129,98,81,7,55,26,0,31,1950,15,7936,6656,0,1031,26,34,0,0,0,0,0,0,76,1859,30,1827,0,0,46,0,0
vspf_m2k2_hdv,64,FAILED,5701,89.078,,966,,,,,,,,,,,,,,,,,,579,66,65,4670,513,386,321,9,231,106,0,127,5406,63,32512,27136,0,1559,106,98,0,0,0,0,0,0,316,5171,126,5043,0,0,190,0,0
vspf_m4k2_hdv,16,PASSED,1479,92.437,1547,246,0,1,65,0,63,63,8,2,575,65,640,7,65,1346,0,0,0,147,18,17,1316,129,98,81,10,35,31,27,32,1821,15,2048,15872,0,0,31,7,0,26,12,0,0,0,80,1303,32,1270,0,0,48,0,.870
vspf_m4k2_hdv,64,PASSED,6087,95.109,6155,966,0,1,257,0,255,255,8,2,3023,257,3280,7,257,5762,0,0,0,579,66,65,5924,513,386,321,11,131,127,123,128,6381,63,2048,65024,0,0,127,7,0,122,60,0,0,0,320,5575,128,5446,0,0,192,0,.968
vspf_m8k2_hdv,16,PASSED,3647,227.937,3715,246,0,0,65,0,63,63,8,2,2421,65,2486,7,65,3514,0,0,0,147,18,17,3162,129,98,81,24,44,21,5,32,3560,16,27648,21504,0,0,21,449,0,5,4,0,11,0,80,3471,32,3438,0,0,48,0,.238
vspf_m8k2_hdv,64,PASSED,15983,249.734,16051,966,0,0,257,0,255,255,8,2,12597,257,12854,7,257,15658,0,0,0,579,66,65,15498,513,386,321,30,188,69,5,128,15704,64,125952,70656,0,0,69,641,0,5,4,0,59,0,320,15471,128,15342,0,0,192,0,.072
