avl,result,task_cycles,cyc_per_elem,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
8,PASSED,113,14.125,181,34,0,0,5,1,2,2,1,4,0,6,6,6,6,2,0,0,0,13,0,0,105,13,11,12,8,1,0,0,1,105,1,16,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,1,0,-
16,PASSED,113,7.062,181,34,0,0,5,1,2,2,1,4,0,6,6,6,6,2,0,0,0,13,0,0,105,13,11,12,8,1,0,0,1,105,1,32,0,0,0,0,0,0,0,0,0,0,1,5,2,1,0,0,0,1,0,-
32,PASSED,113,3.531,181,34,0,0,5,1,2,2,1,4,0,6,6,6,6,2,0,0,0,13,0,0,105,13,11,12,8,1,0,0,1,105,1,64,0,0,0,0,0,0,0,0,0,0,1,5,2,1,0,0,0,1,0,-
64,PASSED,113,1.765,181,34,0,0,5,1,2,2,1,4,0,6,6,6,6,2,0,0,0,13,0,0,105,13,11,12,8,1,0,0,1,105,1,128,0,0,0,0,0,0,0,0,0,0,1,5,2,1,0,0,0,1,0,-
128,PASSED,113,.882,181,34,0,0,5,1,2,2,1,4,0,6,6,6,6,2,0,0,0,13,0,0,105,13,11,12,8,1,0,0,1,105,1,256,0,0,0,0,0,0,0,0,0,0,1,5,2,2,1,0,0,1,0,-
256,PASSED,113,.441,181,34,0,0,5,1,2,2,1,4,0,6,6,6,6,2,0,0,0,13,0,0,105,13,11,12,8,1,0,0,1,105,1,512,0,0,0,0,0,0,0,0,0,0,1,5,2,2,1,0,0,1,0,-
512,PASSED,192,.375,260,60,0,0,10,2,7,7,5,5,0,12,12,8,12,64,0,0,0,25,2,1,184,23,20,20,8,2,1,1,2,183,2,512,512,0,0,1,0,0,0,0,0,0,0,10,4,4,2,0,0,4,0,1.000
1024,PASSED,394,.384,462,112,0,0,20,4,18,18,7,6,0,24,24,10,24,258,0,0,0,47,2,1,355,45,36,34,7,4,3,3,4,383,5,512,1536,0,0,3,0,0,0,0,0,0,0,20,8,8,2,0,0,8,0,1.000
2048,PASSED,813,.396,881,216,0,0,40,8,42,42,7,6,0,48,48,10,48,653,0,0,0,91,2,1,787,89,68,62,8,9,8,7,8,798,8,512,3392,0,0,7,0,1,1,0,0,0,9,40,16,16,2,0,0,16,0,.875
4096,PASSED,1656,.404,1724,424,0,0,80,16,90,90,7,6,0,96,96,10,96,1448,0,0,0,179,2,1,1630,177,132,118,9,17,17,16,16,1633,18,512,6992,0,0,15,0,2,2,0,0,0,9,80,32,32,2,0,0,32,0,.941
