avl,result,task_cycles,cyc_per_elem,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
8,PASSED,28,3.500,96,4,0,0,3,1,4,4,2,1,0,5,7,4,5,3,0,0,0,4,0,0,20,4,0,0,5,2,0,0,2,20,1,64,0,0,0,0,0,0,0,0,0,0,2,5,3,2,1,0,0,2,0,-
16,PASSED,28,1.750,96,4,0,0,3,1,4,4,2,1,0,5,7,4,5,3,0,0,0,4,0,0,20,4,0,0,5,2,0,0,2,20,1,128,0,0,0,0,0,0,0,0,0,0,2,5,3,2,1,0,0,2,0,-
32,PASSED,28,.875,96,4,0,0,3,1,4,4,2,1,0,5,7,4,5,3,0,0,0,4,0,0,20,4,0,0,5,2,0,0,2,20,1,256,0,0,0,0,0,0,0,0,0,0,2,5,3,2,1,0,0,2,0,-
64,PASSED,47,.734,115,8,0,0,6,2,8,8,3,2,0,10,14,6,10,14,0,0,0,10,2,1,38,8,3,1,4,4,2,1,4,38,1,256,256,0,0,2,0,0,2,1,0,0,10,10,12,4,1,6,6,5,0,.500
128,PASSED,101,.789,169,16,0,0,12,4,17,17,8,3,0,20,27,8,20,57,0,0,0,20,2,1,87,18,7,1,4,8,5,4,8,90,3,384,640,0,0,5,0,0,4,1,0,0,12,20,50,7,1,38,38,10,0,.800
256,PASSED,195,.761,263,32,0,0,24,8,37,37,8,3,0,40,55,8,40,131,0,0,0,40,2,1,175,38,15,1,4,12,13,12,16,180,7,384,1664,0,0,13,0,0,12,4,0,0,7,40,112,15,1,88,88,20,0,.923
512,PASSED,387,.755,455,64,0,0,48,16,77,77,8,3,0,80,111,8,80,283,0,0,0,80,2,1,367,78,31,1,4,20,29,28,32,364,15,384,3712,0,0,29,0,0,28,12,0,0,7,80,240,31,1,192,192,40,0,.965
1024,PASSED,771,.752,839,128,0,0,96,32,157,157,8,3,0,160,223,8,160,587,0,0,0,160,2,1,751,158,63,1,4,37,63,59,62,732,30,384,7696,0,0,61,0,2,58,28,0,0,0,160,496,63,1,400,400,80,0,.936
2048,PASSED,1552,.757,1620,256,0,0,192,64,317,317,8,3,15,320,462,8,320,1208,0,0,0,320,2,1,1532,318,127,1,4,71,127,123,126,1481,63,688,15408,0,0,123,0,4,118,57,0,0,0,320,1021,126,1,829,829,160,0,.968
4096,PASSED,3114,.760,3182,512,0,0,384,128,637,637,8,3,45,640,940,8,640,2450,0,0,0,640,2,1,3094,638,255,1,4,139,255,251,254,2979,129,1296,30832,0,0,247,0,8,238,115,0,0,0,640,2071,252,1,1687,1687,320,0,.984
