avl,result,task_cycles,cyc_per_elem,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
8,PASSED,25,3.125,93,3,0,0,2,1,2,2,1,1,0,3,4,3,3,2,0,0,0,5,1,0,17,4,2,1,4,1,0,0,1,17,1,32,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,1,0,-
16,PASSED,25,1.562,93,3,0,0,2,1,2,2,1,1,0,3,4,3,3,2,0,0,0,5,1,0,17,4,2,1,4,1,0,0,1,17,1,64,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,1,0,-
32,PASSED,25,.781,93,3,0,0,2,1,2,2,1,1,0,3,4,3,3,2,0,0,0,5,1,0,17,4,2,1,4,1,0,0,1,17,1,128,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,1,0,-
64,PASSED,52,.812,120,6,0,0,4,2,4,4,2,2,0,6,8,5,6,23,0,0,0,10,3,1,32,7,4,2,4,2,1,1,2,43,2,128,128,0,0,1,0,0,0,0,0,0,0,6,22,2,18,0,0,2,0,1.000
128,PASSED,104,.812,172,12,0,0,8,4,10,10,5,2,0,12,16,5,12,69,0,0,0,18,3,1,80,15,6,2,5,4,3,3,4,93,4,128,384,0,0,3,0,0,0,0,0,0,0,12,64,4,56,0,0,4,0,1.000
256,PASSED,208,.812,276,24,0,0,16,8,22,22,5,2,0,24,32,5,24,161,0,0,0,34,3,1,184,31,10,2,5,8,7,7,8,193,8,128,896,0,0,7,0,0,0,0,0,0,0,24,148,8,132,0,0,8,0,1.000
512,PASSED,416,.812,484,48,0,0,32,16,46,46,5,2,0,48,64,5,48,345,0,0,0,66,3,1,392,63,18,2,6,16,15,15,16,393,16,128,1920,0,0,15,0,0,0,0,0,0,0,48,316,16,284,0,0,16,0,1.000
1024,PASSED,832,.812,900,96,0,0,64,32,94,94,5,2,0,96,128,5,96,713,0,0,0,130,3,1,808,127,34,2,6,33,32,32,32,793,33,128,3920,0,0,31,0,1,0,0,0,0,0,96,652,32,588,0,0,32,0,1.000
2048,PASSED,1657,.809,1725,192,0,0,128,64,190,190,5,2,0,192,256,5,192,1442,0,0,0,258,3,1,1633,255,66,2,6,66,65,65,64,1586,66,128,7904,0,0,63,0,2,0,0,0,0,0,192,1317,64,1189,0,0,64,0,1.000
4096,PASSED,3307,.807,3375,384,0,0,256,128,382,382,5,2,0,384,512,5,384,2900,0,0,0,514,3,1,3283,511,130,2,6,132,131,131,128,3172,132,128,15872,0,0,127,0,4,0,0,0,0,0,384,2647,128,2391,0,0,128,0,1.000
