avl,result,task_cycles,cyc_per_elem,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
8,PASSED,77,9.625,145,11,0,0,5,2,4,4,2,4,0,8,10,7,8,39,0,0,0,7,0,0,40,7,2,1,5,2,0,0,2,69,0,64,0,0,0,0,0,0,0,0,0,0,2,6,39,3,1,0,0,4,0,-
16,PASSED,89,5.562,157,11,0,0,5,2,4,4,2,4,0,8,10,7,8,51,0,0,0,7,0,0,40,7,2,1,5,2,0,0,2,81,0,128,0,0,0,0,0,0,0,0,0,0,2,6,51,3,0,0,0,4,0,-
32,PASSED,94,2.937,162,11,0,0,5,2,4,4,2,4,0,8,10,7,8,56,0,0,0,7,0,0,40,7,2,1,5,2,0,0,2,86,0,256,0,0,0,0,0,0,0,0,0,0,2,6,56,3,0,0,0,4,0,-
64,PASSED,148,2.312,216,15,0,0,8,3,8,8,3,5,0,13,17,9,13,106,0,0,0,13,2,1,58,11,5,2,5,4,2,2,4,139,0,256,256,0,0,2,0,0,2,0,0,0,12,9,105,5,5,12,11,8,0,1.000
128,PASSED,256,2.000,324,23,0,0,14,5,18,18,7,5,0,23,30,8,23,205,0,0,0,23,2,1,118,21,9,2,5,8,6,6,8,245,0,256,768,0,0,6,0,0,2,0,0,0,0,15,199,7,81,32,29,15,0,1.000
256,PASSED,472,1.843,540,39,0,0,26,9,38,38,8,5,0,43,58,8,43,401,0,0,0,43,2,1,334,41,17,2,8,16,14,14,16,457,0,256,1792,0,0,14,0,0,2,0,0,0,0,27,387,11,265,48,41,29,0,1.000
512,PASSED,904,1.765,972,71,0,0,50,17,78,78,8,5,0,83,114,8,83,793,0,0,0,83,2,1,766,81,33,2,9,32,30,30,32,881,0,256,3840,0,0,30,0,0,2,0,0,0,0,51,763,19,633,80,65,57,0,1.000
1024,PASSED,1768,1.726,1836,135,0,0,98,33,158,158,8,5,0,163,226,8,163,1577,0,0,0,163,2,1,1630,161,65,2,10,65,63,63,64,1729,0,256,7840,0,0,62,0,1,2,0,0,0,0,99,1515,35,1369,144,113,113,0,1.000
2048,PASSED,3496,1.707,3564,263,0,0,194,65,318,318,8,5,0,323,450,8,323,3145,0,0,0,323,2,1,3358,321,129,2,10,130,128,128,128,3425,0,256,15920,0,0,126,0,2,2,0,0,0,0,195,3019,67,2841,272,209,225,0,1.000
4096,PASSED,6952,1.697,7020,519,0,0,386,129,638,638,8,5,0,643,898,8,643,6281,0,0,0,643,2,1,6814,641,257,2,10,260,258,258,256,6817,0,256,32080,0,0,254,0,4,2,0,0,0,0,387,6027,131,5785,528,401,449,0,1.000
