avl,result,task_cycles,cyc_per_elem,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
8,PASSED,29,3.625,97,4,0,0,3,1,4,4,1,1,0,5,8,2,5,7,0,0,0,4,0,0,21,4,0,0,5,2,0,0,2,21,2,64,0,0,0,0,0,0,0,0,0,0,2,6,4,1,0,0,0,3,0,-
16,PASSED,29,1.812,97,4,0,0,3,1,4,4,1,1,0,5,8,2,5,7,0,0,0,4,0,0,21,4,0,0,5,2,0,0,2,21,2,128,0,0,0,0,0,0,0,0,0,0,2,6,4,1,0,0,0,3,0,-
32,PASSED,29,.906,97,4,0,0,3,1,4,4,1,1,0,5,8,2,5,7,0,0,0,4,0,0,21,4,0,0,5,2,0,0,2,21,2,256,0,0,0,0,0,0,0,0,0,0,2,6,4,1,0,0,0,3,0,-
64,PASSED,82,1.281,150,8,0,0,6,2,8,8,4,2,0,10,16,4,10,52,0,0,0,10,2,1,40,8,4,1,5,4,2,2,4,73,4,256,256,0,0,2,0,0,0,0,0,0,0,12,46,2,38,1,1,5,0,1.000
128,PASSED,166,1.296,234,16,0,0,12,4,18,18,8,2,0,20,30,4,20,126,0,0,0,20,2,1,128,18,10,1,7,8,6,6,8,155,8,256,768,0,0,6,0,0,0,0,0,0,0,24,112,4,96,1,1,9,0,1.000
256,PASSED,334,1.304,402,32,0,0,24,8,38,38,8,2,40,40,102,4,40,274,0,0,0,40,2,1,296,38,22,1,7,16,14,14,16,319,16,256,1792,0,0,14,0,0,0,0,0,0,0,48,244,8,212,1,1,17,0,1.000
512,PASSED,670,1.308,738,64,0,0,48,16,78,78,8,2,120,80,246,4,80,570,0,0,0,80,2,1,632,78,46,1,8,32,30,30,32,647,32,256,3840,0,0,30,0,0,0,0,0,0,0,96,508,16,444,1,1,33,0,1.000
1024,PASSED,1350,1.318,1418,128,0,0,96,32,158,158,8,2,280,160,534,4,160,1170,0,0,0,160,2,1,1304,158,94,1,8,64,64,64,64,1311,66,256,7824,0,0,62,0,2,1,0,0,0,0,192,1044,32,916,1,1,66,0,1.000
2048,PASSED,2693,1.314,2761,256,0,0,192,64,318,318,8,2,599,320,1109,4,320,2353,0,0,0,320,2,1,2647,318,190,1,8,128,130,130,128,2622,132,256,15792,0,0,126,0,4,2,0,0,0,0,384,2099,64,1843,1,1,131,0,1.000
4096,PASSED,5379,1.313,5447,512,0,0,384,128,638,638,8,2,1237,640,2259,4,640,4719,0,0,0,640,2,1,5333,638,382,1,8,256,262,262,256,5244,264,256,31728,0,0,254,0,8,4,0,0,0,0,768,4209,128,3697,1,1,261,0,1.000
