model,effective_kv,prompt_tokens,qbs_candidate_compute_nodes,qbs_profiles,qbs_dot_elements,qbs_weight_logical_bytes,qbs_activation_logical_bytes_without_cross_op_reuse,akv_candidate_compute_nodes,akv_shape_eligible_compute_nodes,akv_shape_fallback_compute_nodes,akv_shape_eligible_groups,akv_query_payload_logical_bytes,akv_kv_payload_logical_bytes,akv_attention_macs,ordinary_rvv_compute_nodes_if_akv_shape_selected,ordinary_rvv_compute_nodes_without_akv,status,artifact
qwen25_1p5b_q4km,16,15,197,Q4_K/Q6_K,1543569408,979517952,582248,28,28,0,56,86016,458752,1376256,340,368,PASS,hardware/qbs_akv_context_sweep_20260831_r2/qwen25_1p5b_q4km/kv16/summary.json
qwen25_1p5b_q4km,128,127,197,Q4_K/Q6_K,1543569408,979517952,582248,28,28,0,56,86016,3670016,11010048,340,368,PASS,hardware/qbs_akv_context_sweep_20260831_r2/qwen25_1p5b_q4km/kv128/summary.json
qwen25_1p5b_q4km,512,511,197,Q4_K/Q6_K,1543569408,979517952,582248,28,28,0,56,86016,14680064,44040192,340,368,PASS,hardware/qbs_akv_context_sweep_20260831_r2/qwen25_1p5b_q4km/kv512/summary.json
qwen25_1p5b_q4km,1024,1023,197,Q4_K/Q6_K,1543569408,979517952,582248,28,28,0,56,86016,29360128,88080384,340,368,PASS,hardware/qbs_akv_context_sweep_20260831_r2/qwen25_1p5b_q4km/kv1024/summary.json
tinyllama_1p1b_q4km,16,15,155,Q4_K/Q6_K,1034420224,629846016,452016,22,22,0,88,90112,360448,1441792,202,224,PASS,hardware/qbs_akv_context_sweep_20260831_r2/tinyllama_1p1b_q4km/kv16/summary.json
tinyllama_1p1b_q4km,128,127,155,Q4_K/Q6_K,1034420224,629846016,452016,22,22,0,88,90112,2883584,11534336,202,224,PASS,hardware/qbs_akv_context_sweep_20260831_r2/tinyllama_1p1b_q4km/kv128/summary.json
tinyllama_1p1b_q4km,512,511,155,Q4_K/Q6_K,1034420224,629846016,452016,22,22,0,88,90112,11534336,46137344,202,224,PASS,hardware/qbs_akv_context_sweep_20260831_r2/tinyllama_1p1b_q4km/kv512/summary.json
tinyllama_1p1b_q4km,1024,1023,155,Q4_K/Q6_K,1034420224,629846016,452016,22,22,0,88,90112,23068672,92274688,202,224,PASS,hardware/qbs_akv_context_sweep_20260831_r2/tinyllama_1p1b_q4km/kv1024/summary.json
smollm2_135m_q4km,16,15,211,Q4_K/Q5_0/Q6_K/Q8_0,134479872,103527936,163332,30,0,30,0,0,0,0,304,304,PASS,hardware/qbs_akv_context_sweep_20260831_r2/smollm2_135m_q4km/kv16/summary.json
smollm2_135m_q4km,128,127,211,Q4_K/Q5_0/Q6_K/Q8_0,134479872,103527936,163332,30,0,30,0,0,0,0,304,304,PASS,hardware/qbs_akv_context_sweep_20260831_r2/smollm2_135m_q4km/kv128/summary.json
smollm2_135m_q4km,512,511,211,Q4_K/Q5_0/Q6_K/Q8_0,134479872,103527936,163332,30,0,30,0,0,0,0,304,304,PASS,hardware/qbs_akv_context_sweep_20260831_r2/smollm2_135m_q4km/kv512/summary.json
smollm2_135m_q4km,1024,1023,211,Q4_K/Q5_0/Q6_K/Q8_0,134479872,103527936,163332,30,0,30,0,0,0,0,304,304,PASS,hardware/qbs_akv_context_sweep_20260831_r2/smollm2_135m_q4km/kv1024/summary.json
