rank,profile,k,m,n,projected_cycles,counter_basis,context_eligible,base_schedule_envelope_fraction,context_replay_envelope_fraction,combined_envelope_fraction,optimistic_recoverable_cycles
1,Q4_K,1536,1,8960,36029084,Q4_K context K1536 N1536,1,0.06529327284313446,0.05364225183325249,0.11893552467638696,4285138
2,Q4_K,2048,1,5632,23977477,Q4_K context K1536 N1536,1,0.06529327284313446,0.05364225183325249,0.11893552467638696,2851774
3,Q6_K,1536,1,151936,14681897,Q6_K direct K8960 N256,1,0.03349565629332386,0.05364225183325249,0.08713790812657635,1279350
4,Q6_K,8960,1,1536,13017732,Q6_K direct K8960 N256,0,0.03349565629332386,0.0,0.03349565629332386,436037
5,Q4_K,8960,1,1536,9790445,Q4_K context K1536 N1536,0,0.06529327284313446,0.0,0.06529327284313446,639250
6,Q4_K,2048,1,2048,9151179,Q4_K context K1536 N1536,1,0.06529327284313446,0.05364225183325249,0.11893552467638696,1088400
7,Q6_K,5632,1,2048,7657433,Q6_K direct K8960 N256,0,0.03349565629332386,0.0,0.03349565629332386,256491
8,Q4_K,5632,1,2048,6863384,Q4_K context K1536 N1536,0,0.06529327284313446,0.0,0.06529327284313446,448133
9,Q4_K,1536,1,1536,6713448,Q4_K context K1536 N1536,1,0.06529327284313446,0.05364225183325249,0.11893552467638696,798467
10,Q6_K,2048,1,32000,4134638,Q6_K direct K8960 N256,1,0.03349565629332386,0.05364225183325249,0.08713790812657635,360284
11,Q8_0,576,1,49152,3326301,Q8_0 direct K896 N256,0,0.14911721707838213,0.0,0.14911721707838213,496009
12,Q5_0,576,1,1536,3130264,Q5_0 proxy from Q8_0 32-element profile,0,0.14911721707838213,0.0,0.14911721707838213,466776
13,Q4_K,2048,1,256,1343023,Q4_K context K1536 N1536,1,0.06529327284313446,0.05364225183325249,0.11893552467638696,159733
14,Q5_0,576,1,576,1295108,Q5_0 proxy from Q8_0 32-element profile,0,0.14911721707838213,0.0,0.14911721707838213,193123
15,Q4_K,1536,1,256,1244271,Q4_K context K1536 N1536,1,0.06529327284313446,0.05364225183325249,0.11893552467638696,147988
16,Q6_K,1536,1,576,933856,Q6_K direct K8960 N256,1,0.03349565629332386,0.05364225183325249,0.08713790812657635,81374
17,Q4_K,1536,1,576,835038,Q4_K context K1536 N1536,1,0.06529327284313446,0.05364225183325249,0.11893552467638696,99316
18,Q6_K,1536,1,256,501271,Q6_K direct K8960 N256,1,0.03349565629332386,0.05364225183325249,0.08713790812657635,43680
19,Q6_K,2048,1,256,477401,Q6_K direct K8960 N256,1,0.03349565629332386,0.05364225183325249,0.08713790812657635,41600
20,Q5_0,576,1,192,430135,Q5_0 proxy from Q8_0 32-element profile,0,0.14911721707838213,0.0,0.14911721707838213,64141
21,Q8_0,576,1,192,227000,Q8_0 direct K896 N256,0,0.14911721707838213,0.0,0.14911721707838213,33850
