group,kernel,tag,avl,size,rows,n,result,task_cycles,cyc_per_elem,cyc_per_macc,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
fixed,fconv2d_fix,fconv2d_fix,,,,,PASSED,19170,,,19238,3050,0,0,641,1,1216,1216,8,1,9604,1217,10821,3,3860,17747,0,0,0,1486,190,128,19072,1296,1230,1168,14,600,0,0,576,19500,68,150528,0,0,0,0,0,0,0,0,24,0,576,1280,17109,64,13165,14586,14586,1152,0,
fixed,jacobi2d_fix,jacobi2d_fix,,,,,PASSED,20338,,,20406,2939,0,0,760,1,1382,1382,8,8,1928,1390,3570,12,1390,18667,0,0,0,1781,254,254,20109,1527,1275,1148,13,144,0,0,128,20604,141,65536,0,0,0,0,0,0,0,0,16,0,128,1011,16782,435,6152,126,0,1010,4718,
fixed,lavamd_fix,lavamd_fix,,,,,PASSED,2757,,,2825,522,0,0,430,10,409,409,8,21,903,430,1748,30,430,2103,0,0,0,192,12,6,2627,180,176,171,14,5,36,36,40,3144,0,640,4416,1,82,35,0,1,0,0,0,0,0,383,2078,163,175,160,0,257,0,1.000
avl,dropout_hdv,,1024,,,,PASSED,536,.523,,604,41,0,0,12,4,22,22,8,2,0,24,32,7,24,463,0,0,0,34,6,5,415,28,20,13,14,8,7,6,8,925,4,1056,3200,0,0,7,0,0,1,1,0,0,0,13,457,5,446,16,12,14,0,.857
avl,dropout_hdv,,128,,,,PASSED,59,.460,,127,14,0,4,3,1,5,5,2,1,0,6,8,4,6,3,0,0,0,9,1,1,51,8,4,3,6,3,1,0,2,451,1,528,16,0,0,1,0,0,0,0,0,0,1,4,3,2,1,1,0,4,0,0
avl,dropout_hdv,,2048,,,,PASSED,1096,.535,,1164,77,0,0,24,8,46,46,8,2,422,48,486,7,48,999,0,0,0,66,10,9,969,56,40,25,17,16,15,14,16,1481,8,1056,7424,0,0,15,0,0,1,1,0,0,0,25,981,9,958,32,24,28,0,.933
avl,dropout_hdv,,256,,,,PASSED,59,.230,,127,14,0,4,3,1,5,5,2,1,0,6,8,4,6,3,0,0,0,9,1,1,51,8,4,3,6,3,1,0,2,451,1,1056,32,0,0,1,0,0,0,0,0,0,1,4,3,2,1,1,0,4,0,0
avl,dropout_hdv,,32,,,,PASSED,59,1.843,,127,14,0,4,3,1,5,5,2,1,0,6,8,4,6,3,0,0,0,9,1,1,51,8,4,3,6,3,1,0,2,451,1,144,16,0,0,1,0,0,0,0,0,0,1,4,3,2,1,1,0,4,0,0
avl,dropout_hdv,,4096,,,,PASSED,2216,.541,,2284,149,0,0,48,16,94,94,8,2,1278,96,1406,7,96,2071,0,0,0,130,18,17,2089,112,80,49,18,32,31,30,32,2593,16,1056,15872,0,0,31,0,0,1,1,0,0,0,49,2029,17,1982,64,48,56,0,.967
avl,dropout_hdv,,512,,,,PASSED,196,.382,,264,23,0,2,6,2,10,10,3,2,0,12,16,7,12,135,0,0,0,18,4,3,85,14,10,7,6,5,3,2,4,587,2,1056,1088,0,0,3,0,0,1,0,0,0,61,7,135,3,130,8,6,7,0,.666
avl,dropout_hdv,,64,,,,PASSED,59,.921,,127,14,0,4,3,1,5,5,2,1,0,6,8,4,6,3,0,0,0,9,1,1,51,8,4,3,6,3,1,0,2,451,1,272,16,0,0,1,0,0,0,0,0,0,1,4,3,2,1,1,0,4,0,0
avl,vmc_hdv,,1024,,,,PASSED,394,.384,,462,112,0,0,20,4,18,18,7,6,0,24,24,10,24,258,0,0,0,47,2,1,355,45,36,34,7,4,3,3,4,783,5,512,1536,0,0,3,0,0,0,0,0,0,0,20,8,8,2,0,0,8,0,1.000
avl,vmc_hdv,,128,,,,PASSED,113,.882,,181,34,0,4,5,1,2,2,1,4,0,6,6,6,6,2,0,0,0,13,0,0,105,13,11,12,8,1,0,0,1,505,1,256,0,0,0,0,0,0,0,0,0,0,1,5,2,2,1,0,0,1,0,
avl,vmc_hdv,,2048,,,,PASSED,813,.396,,881,216,0,4,40,8,42,42,7,6,0,48,48,10,48,653,0,0,0,91,2,1,787,89,68,62,8,9,8,8,8,1198,10,512,3392,0,0,7,0,1,1,0,0,0,9,40,16,16,2,0,0,16,0,1.000
avl,vmc_hdv,,256,,,,PASSED,113,.441,,181,34,0,4,5,1,2,2,1,4,0,6,6,6,6,2,0,0,0,13,0,0,105,13,11,12,8,1,0,0,1,505,1,512,0,0,0,0,0,0,0,0,0,0,1,5,2,2,1,0,0,1,0,
avl,vmc_hdv,,32,,,,PASSED,113,3.531,,181,34,0,3,5,1,2,2,1,4,0,6,6,6,6,2,0,0,0,13,0,0,105,13,11,12,8,1,0,0,1,505,1,64,0,0,0,0,0,0,0,0,0,0,1,5,2,1,0,0,0,1,0,
avl,vmc_hdv,,4096,,,,PASSED,1656,.404,,1724,424,0,4,80,16,90,90,7,6,0,96,96,10,96,1448,0,0,0,179,2,1,1630,177,132,118,9,17,17,17,16,2033,20,512,6992,0,0,15,0,2,2,0,0,0,9,80,32,32,2,0,0,32,0,1.000
