kernel,tag,avl,blas_lmul,gemm_rows,run_mode,status,"IPC","cva6-d$-stalls","cva6-i$-stalls","cva6-sb-full","duration","hw-cycles","lane utilization","lane0 bank0_conflict_ratio","lane0 bank0_total_conflicts","lane0 bank0_total_requests","lane0 bank1_conflict_ratio","lane0 bank1_total_conflicts","lane0 bank1_total_requests","lane0 bank2_conflict_ratio","lane0 bank2_total_conflicts","lane0 bank2_total_requests","lane0 bank3_conflict_ratio","lane0 bank3_total_conflicts","lane0 bank3_total_requests","lane0 bank4_conflict_ratio","lane0 bank4_total_conflicts","lane0 bank4_total_requests","lane0 bank5_conflict_ratio","lane0 bank5_total_conflicts","lane0 bank5_total_requests","lane0 bank6_conflict_ratio","lane0 bank6_total_conflicts","lane0 bank6_total_requests","lane0 bank7_conflict_ratio","lane0 bank7_total_conflicts","lane0 bank7_total_requests","lane0 compute utilization","lane0 conflict_ratio","lane0 hp_block_lp","lane0 total_bank_conflicts","lane0 total_bank_requests","lane0 total_hp_bank_conflicts","lane0 total_hp_bank_requests","lane0 total_lp_bank_conflicts","lane0 total_lp_bank_requests","lane1 bank0_conflict_ratio","lane1 bank0_total_conflicts","lane1 bank0_total_requests","lane1 bank1_conflict_ratio","lane1 bank1_total_conflicts","lane1 bank1_total_requests","lane1 bank2_conflict_ratio","lane1 bank2_total_conflicts","lane1 bank2_total_requests","lane1 bank3_conflict_ratio","lane1 bank3_total_conflicts","lane1 bank3_total_requests","lane1 bank4_conflict_ratio","lane1 bank4_total_conflicts","lane1 bank4_total_requests","lane1 bank5_conflict_ratio","lane1 bank5_total_conflicts","lane1 bank5_total_requests","lane1 bank6_conflict_ratio","lane1 bank6_total_conflicts","lane1 bank6_total_requests","lane1 bank7_conflict_ratio","lane1 bank7_total_conflicts","lane1 bank7_total_requests","lane1 compute utilization","lane1 hp_block_lp","lane1 total_bank_conflicts","lane1 total_bank_requests","lane1 total_hp_bank_conflicts","lane1 total_hp_bank_requests","lane1 total_lp_bank_conflicts","lane1 total_lp_bank_requests","lane2 bank0_conflict_ratio","lane2 bank0_total_conflicts","lane2 bank0_total_requests","lane2 bank1_conflict_ratio","lane2 bank1_total_conflicts","lane2 bank1_total_requests","lane2 bank2_conflict_ratio","lane2 bank2_total_conflicts","lane2 bank2_total_requests","lane2 bank3_conflict_ratio","lane2 bank3_total_conflicts","lane2 bank3_total_requests","lane2 bank4_conflict_ratio","lane2 bank4_total_conflicts","lane2 bank4_total_requests","lane2 bank5_conflict_ratio","lane2 bank5_total_conflicts","lane2 bank5_total_requests","lane2 bank6_conflict_ratio","lane2 bank6_total_conflicts","lane2 bank6_total_requests","lane2 bank7_conflict_ratio","lane2 bank7_total_conflicts","lane2 bank7_total_requests","lane2 compute utilization","lane2 hp_block_lp","lane2 total_bank_conflicts","lane2 total_bank_requests","lane2 total_hp_bank_conflicts","lane2 total_hp_bank_requests","lane2 total_lp_bank_conflicts","lane2 total_lp_bank_requests","lane3 bank0_conflict_ratio","lane3 bank0_total_conflicts","lane3 bank0_total_requests","lane3 bank1_conflict_ratio","lane3 bank1_total_conflicts","lane3 bank1_total_requests","lane3 bank2_conflict_ratio","lane3 bank2_total_conflicts","lane3 bank2_total_requests","lane3 bank3_conflict_ratio","lane3 bank3_total_conflicts","lane3 bank3_total_requests","lane3 bank4_conflict_ratio","lane3 bank4_total_conflicts","lane3 bank4_total_requests","lane3 bank5_conflict_ratio","lane3 bank5_total_conflicts","lane3 bank5_total_requests","lane3 bank6_conflict_ratio","lane3 bank6_total_conflicts","lane3 bank6_total_requests","lane3 bank7_conflict_ratio","lane3 bank7_total_conflicts","lane3 bank7_total_requests","lane3 compute utilization","lane3 hp_block_lp","lane3 total_bank_conflicts","lane3 total_bank_requests","lane3 total_hp_bank_conflicts","lane3 total_hp_bank_requests","lane3 total_lp_bank_conflicts","lane3 total_lp_bank_requests","rvv_axi_ar_count","rvv_axi_aw_count","rvv_axi_b_count","rvv_axi_r_count","rvv_axi_w_count","rvv_op","rvv_op_fd","rvv_op_fs1","rvv_op_load","rvv_op_store","seq_block_cycles","seq_false_hazard_cycles","seq_raw_hazard_cycles","seq_war_hazard_cycles","seq_waw_hazard_cycles","total_cycles","total_insns","total_rvv_cycles","total_rvv_lane0_compute_cycles","total_rvv_lane1_compute_cycles","total_rvv_lane2_compute_cycles","total_rvv_lane3_compute_cycles","total_rvv_lane_cycles","total_rvv_load_lane_cycles","total_rvv_load_only_cycles","total_rvv_mem_lane_cycles","total_rvv_mem_only_cycles","total_rvv_store_lane_cycles","total_rvv_store_only_cycles","total_vector_insns","vector inst rate"
vsaxpy_asm,avl32,32,,,ideal,OK,NA,0,0,0,510000 x100fs,51,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,0.000,0,0,24,0,12,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,1,NA,NA,51,4,4,4,4,27,20,10,27,21,26,11,NA,NA
vsaxpy_asm,avl64,64,,,ideal,OK,NA,0,0,0,910000 x100fs,91,0.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,0.000,0,0,48,0,24,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,16,4,15,2,NA,NA,91,8,8,8,8,50,36,26,50,38,48,22,NA,NA
vsaxpy_asm,avl128,128,,,ideal,OK,NA,0,0,0,1710000 x100fs,171,0.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094,0.000,0,0,96,0,48,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,46,8,43,4,NA,NA,171,16,16,16,16,96,68,58,96,72,92,44,NA,NA
vsaxpy_asm,avl256,256,,,ideal,OK,NA,0,0,0,3310000 x100fs,331,0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,0.000,0,0,192,0,96,0,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,106,16,99,8,NA,NA,331,32,32,32,32,188,132,122,188,140,180,88,NA,NA
vsaxpy_asm,avl512,512,,,ideal,OK,NA,0,0,0,6510000 x100fs,651,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098,0.000,0,0,384,0,192,0,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,226,32,211,16,NA,NA,651,64,64,64,64,372,260,250,372,276,356,176,NA,NA
vsaxpy_asm,avl1024,1024,,,ideal,OK,NA,0,0,0,12900000 x100fs,1290,0.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099,0.000,0,0,768,0,384,0,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434,466,64,435,32,NA,NA,1290,128,128,128,128,739,515,507,739,548,707,351,NA,NA
vsaxpy_asm,avl2048,2048,,,ideal,OK,NA,0,0,0,25690000 x100fs,2569,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100,0.000,0,0,1536,0,768,0,768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,880,944,128,881,64,NA,NA,2569,256,256,256,256,1474,1026,1019,1474,1092,1410,702,NA,NA
vsaxpy_asm,avl4096,4096,,,ideal,OK,NA,0,0,0,51270000 x100fs,5127,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100,0.000,0,0,3072,0,1536,0,1536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1772,1900,256,1773,128,NA,NA,5127,512,512,512,512,2944,2048,2043,2944,2180,2816,1404,NA,NA
vscopy_asm,avl32,32,,,ideal,OK,NA,0,0,0,370000 x100fs,37,0.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,0,0,8,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,37,0,0,0,0,0,0,21,0,34,0,29,NA,NA
vscopy_asm,avl64,64,,,ideal,OK,NA,0,0,0,720000 x100fs,72,0.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,0,0,16,0,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,2,14,1,NA,NA,72,0,0,0,0,0,0,42,0,68,0,58,NA,NA
