case,profile,m,n,k_blocks,weight_layout,activation_layout,before_cycles,after_cycles,delta_cycles
0,1,1,5,2,1,1,302,302,0
1,1,4,7,2,2,2,864,864,0
2,2,3,3,2,1,1,529,529,0
3,2,4,8,3,2,2,1272,1272,0
4,1,1,9,3,2,1,547,547,0
5,3,1,5,3,1,1,156,156,0
6,3,4,7,4,2,2,414,414,0
7,3,1,1,65,1,1,1389,1389,0
8,4,1,5,2,1,1,318,318,0
9,4,4,7,3,2,2,1269,1269,0
10,5,1,5,2,1,1,284,284,0
11,5,4,7,3,2,2,1185,1185,0
12,6,1,5,3,1,1,161,161,0
13,6,4,7,4,2,2,418,418,0
14,1,2,3,2,2,1,338,338,0
15,3,3,5,3,2,1,246,246,0
16,7,1,5,2,1,1,278,278,0
17,7,4,7,3,2,2,1200,1200,0
18,8,1,5,3,1,1,158,158,0
19,8,4,7,4,2,2,415,415,0
20,9,1,5,3,1,1,156,156,0
21,9,4,7,4,2,2,414,414,0
22,1,5,15,1,2,3,946,946,0
23,2,8,16,1,2,3,1347,1347,0
24,1,6,11,1,2,3,860,860,0
25,2,7,13,1,2,3,1306,1306,0
26,4,8,9,1,2,3,1048,1048,0
27,5,5,16,1,2,3,926,926,0
28,6,8,7,1,2,3,246,246,0
29,3,6,12,1,2,3,296,296,0
30,7,7,15,1,2,3,1319,1319,0
31,8,8,16,1,2,3,471,471,0
32,9,5,11,1,2,3,243,243,0
