case,profile,m,n,k_blocks,weight_layout,activation_layout,baseline_cycles,sram_cycles,delta_cycles,delta_percent
0,1,1,5,2,1,1,302,316,14,4.635761589403973
1,1,4,7,2,2,2,864,864,0,0.0
2,2,3,3,2,1,1,529,584,55,10.396975425330814
3,2,4,8,3,2,2,1272,1312,40,3.1446540880503147
4,1,1,9,3,2,1,547,568,21,3.8391224862888484
5,3,1,5,3,1,1,156,156,0,0.0
6,3,4,7,4,2,2,414,414,0,0.0
7,3,1,1,65,1,1,1389,1389,0,0.0
8,4,1,5,2,1,1,318,332,14,4.40251572327044
9,4,4,7,3,2,2,1269,1269,0,0.0
10,5,1,5,2,1,1,284,305,21,7.394366197183099
11,5,4,7,3,2,2,1185,1195,10,0.8438818565400844
12,6,1,5,3,1,1,161,161,0,0.0
13,6,4,7,4,2,2,418,418,0,0.0
14,1,2,3,2,2,1,338,359,21,6.21301775147929
15,3,3,5,3,2,1,246,246,0,0.0
16,7,1,5,2,1,1,278,298,20,7.194244604316546
17,7,4,7,3,2,2,1200,1209,9,0.75
18,8,1,5,3,1,1,158,158,0,0.0
19,8,4,7,4,2,2,415,415,0,0.0
20,9,1,5,3,1,1,156,156,0,0.0
21,9,4,7,4,2,2,414,414,0,0.0
22,1,5,15,1,2,3,946,946,0,0.0
23,2,8,16,1,2,3,1347,1359,12,0.89086859688196
24,1,6,11,1,2,3,860,860,0,0.0
25,2,7,13,1,2,3,1306,1318,12,0.9188361408882083
26,4,8,9,1,2,3,1048,1048,0,0.0
27,5,5,16,1,2,3,926,929,3,0.32397408207343414
28,6,8,7,1,2,3,246,246,0,0.0
29,3,6,12,1,2,3,296,296,0,0.0
30,7,7,15,1,2,3,1319,1322,3,0.22744503411675512
31,8,8,16,1,2,3,471,471,0,0.0
32,9,5,11,1,2,3,243,243,0,0.0
