Command: /tmp/ara_dsa_sram_20260908/macro_functional/sram/./simv -l run.log
Chronologic VCS simulator copyright 1991-2023
Contains Synopsys proprietary information.
Compiler version V-2023.12-SP1_Full64; Runtime version V-2023.12-SP1_Full64;  Sep  8 10:05 2026
QBS adapter case PASS profile=1 M=1 rows=1 group=0 layout=1 W=144 A=292
QBS adapter case PASS profile=1 M=3 rows=3 group=0 layout=1 W=432 A=876
QBS adapter case PASS profile=1 M=4 rows=4 group=1 layout=2 W=576 A=1168
QBS adapter case PASS profile=1 M=5 rows=4 group=1 layout=3 W=576 A=2336
QBS adapter case PASS profile=1 M=6 rows=4 group=1 layout=3 W=576 A=2336
QBS adapter case PASS profile=1 M=7 rows=4 group=1 layout=3 W=576 A=2336
QBS adapter case PASS profile=1 M=8 rows=4 group=1 layout=3 W=576 A=2336
QBS adapter case PASS profile=1 M=2 rows=2 group=0 layout=1 W=288 A=584
QBS adapter case PASS profile=1 M=2 rows=2 group=1 layout=1 W=288 A=584
QBS adapter case PASS profile=2 M=1 rows=1 group=0 layout=1 W=210 A=292
QBS adapter case PASS profile=2 M=3 rows=3 group=0 layout=1 W=630 A=876
QBS adapter case PASS profile=2 M=4 rows=4 group=1 layout=2 W=840 A=1168
QBS adapter case PASS profile=2 M=5 rows=4 group=1 layout=3 W=840 A=2336
QBS adapter case PASS profile=2 M=6 rows=4 group=1 layout=3 W=840 A=2336
QBS adapter case PASS profile=2 M=7 rows=4 group=1 layout=3 W=840 A=2336
QBS adapter case PASS profile=2 M=8 rows=4 group=1 layout=3 W=840 A=2336
QBS adapter case PASS profile=2 M=2 rows=2 group=0 layout=1 W=420 A=584
QBS adapter case PASS profile=2 M=2 rows=2 group=1 layout=1 W=420 A=584
QBS adapter case PASS profile=3 M=1 rows=1 group=0 layout=1 W=18 A=34
QBS adapter case PASS profile=3 M=3 rows=3 group=0 layout=1 W=54 A=102
QBS adapter case PASS profile=3 M=4 rows=4 group=1 layout=2 W=72 A=136
QBS adapter case PASS profile=3 M=5 rows=4 group=1 layout=3 W=72 A=272
QBS adapter case PASS profile=3 M=6 rows=4 group=1 layout=3 W=72 A=272
QBS adapter case PASS profile=3 M=7 rows=4 group=1 layout=3 W=72 A=272
QBS adapter case PASS profile=3 M=8 rows=4 group=1 layout=3 W=72 A=272
QBS adapter case PASS profile=3 M=2 rows=2 group=0 layout=1 W=36 A=68
QBS adapter case PASS profile=3 M=2 rows=2 group=1 layout=1 W=36 A=68
QBS adapter case PASS profile=4 M=1 rows=1 group=0 layout=1 W=176 A=292
QBS adapter case PASS profile=4 M=3 rows=3 group=0 layout=1 W=528 A=876
QBS adapter case PASS profile=4 M=4 rows=4 group=1 layout=2 W=704 A=1168
QBS adapter case PASS profile=4 M=5 rows=4 group=1 layout=3 W=704 A=2336
QBS adapter case PASS profile=4 M=6 rows=4 group=1 layout=3 W=704 A=2336
QBS adapter case PASS profile=4 M=7 rows=4 group=1 layout=3 W=704 A=2336
QBS adapter case PASS profile=4 M=8 rows=4 group=1 layout=3 W=704 A=2336
QBS adapter case PASS profile=4 M=2 rows=2 group=0 layout=1 W=352 A=584
QBS adapter case PASS profile=4 M=2 rows=2 group=1 layout=1 W=352 A=584
QBS adapter case PASS profile=5 M=1 rows=1 group=0 layout=1 W=110 A=292
QBS adapter case PASS profile=5 M=3 rows=3 group=0 layout=1 W=330 A=876
