case,profile,m,n,k_blocks,weight_layout,activation_layout,cycles,before_cycles,delta_cycles,delta_percent
0,1,1,5,2,1,1,312,302,10,3.31125827814569
1,1,4,7,2,2,2,874,864,10,1.157407407407418
2,2,3,3,2,1,1,535,529,6,1.1342155009451904
3,2,4,8,3,2,2,1286,1272,14,1.1006289308176154
4,1,1,9,3,2,1,567,547,20,3.656307129798897
5,3,1,5,3,1,1,166,156,10,6.41025641025641
6,3,4,7,4,2,2,418,414,4,0.9661835748792313
7,3,1,1,65,1,1,1521,1389,132,9.503239740820725
8,4,1,5,2,1,1,328,318,10,3.1446540880503138
9,4,4,7,3,2,2,1283,1269,14,1.1032308904649346
10,5,1,5,2,1,1,294,284,10,3.5211267605633756
11,5,4,7,3,2,2,1199,1185,14,1.181434599156117
12,6,1,5,3,1,1,169,161,8,4.968944099378891
13,6,4,7,4,2,2,422,418,4,0.9569377990430672
14,1,2,3,2,2,1,344,338,6,1.775147928994092
15,3,3,5,3,2,1,258,246,12,4.878048780487809
16,7,1,5,2,1,1,288,278,10,3.597122302158273
17,7,4,7,3,2,2,1214,1200,14,1.1666666666666714
18,8,1,5,3,1,1,167,158,9,5.696202531645578
19,8,4,7,4,2,2,419,415,4,0.9638554216867545
20,9,1,5,3,1,1,166,156,10,6.41025641025641
21,9,4,7,4,2,2,418,414,4,0.9661835748792313
22,1,5,15,1,2,3,962,946,16,1.6913319238900604
23,2,8,16,1,2,3,1365,1347,18,1.3363028953229383
24,1,6,11,1,2,3,872,860,12,1.3953488372093092
25,2,7,13,1,2,3,1324,1306,18,1.3782542113323082
26,4,8,9,1,2,3,1062,1048,14,1.3358778625954137
27,5,5,16,1,2,3,948,926,22,2.3758099352051865
28,6,8,7,1,2,3,250,246,4,1.6260162601626105
29,3,6,12,1,2,3,300,296,4,1.3513513513513598
30,7,7,15,1,2,3,1337,1319,18,1.3646702047005244
31,8,8,16,1,2,3,475,471,4,0.849256900212314
32,9,5,11,1,2,3,247,243,4,1.6460905349794164
