case,profile,m,n,k_blocks,weight_layout,activation_layout,before_cycles,after_cycles,delta_cycles,delta_percent
0,1,1,5,2,1,1,312,314,2,0.6410256410256411
1,1,4,7,2,2,2,874,876,2,0.2288329519450801
2,2,3,3,2,1,1,535,537,2,0.37383177570093457
3,2,4,8,3,2,2,1286,1289,3,0.2332814930015552
4,1,1,9,3,2,1,567,570,3,0.5291005291005291
5,3,1,5,3,1,1,166,169,3,1.8072289156626506
6,3,4,7,4,2,2,418,419,1,0.23923444976076555
7,3,1,1,65,1,1,1521,1586,65,4.273504273504273
8,4,1,5,2,1,1,328,330,2,0.6097560975609756
9,4,4,7,3,2,2,1283,1286,3,0.2338269680436477
10,5,1,5,2,1,1,294,296,2,0.6802721088435374
11,5,4,7,3,2,2,1199,1202,3,0.25020850708924103
12,6,1,5,3,1,1,169,174,5,2.9585798816568047
13,6,4,7,4,2,2,422,423,1,0.23696682464454977
14,1,2,3,2,2,1,344,346,2,0.5813953488372093
15,3,3,5,3,2,1,258,261,3,1.1627906976744187
16,7,1,5,2,1,1,288,290,2,0.6944444444444444
17,7,4,7,3,2,2,1214,1217,3,0.2471169686985173
18,8,1,5,3,1,1,167,171,4,2.395209580838323
19,8,4,7,4,2,2,419,420,1,0.2386634844868735
20,9,1,5,3,1,1,166,169,3,1.8072289156626506
21,9,4,7,4,2,2,418,419,1,0.23923444976076555
22,1,5,15,1,2,3,962,963,1,0.10395010395010396
23,2,8,16,1,2,3,1365,1366,1,0.07326007326007326
24,1,6,11,1,2,3,872,873,1,0.11467889908256881
25,2,7,13,1,2,3,1324,1325,1,0.0755287009063444
26,4,8,9,1,2,3,1062,1063,1,0.09416195856873823
27,5,5,16,1,2,3,948,949,1,0.10548523206751055
28,6,8,7,1,2,3,250,251,1,0.4
29,3,6,12,1,2,3,300,301,1,0.3333333333333333
30,7,7,15,1,2,3,1337,1338,1,0.07479431563201197
31,8,8,16,1,2,3,475,476,1,0.21052631578947367
32,9,5,11,1,2,3,247,248,1,0.4048582995951417
