case,profile,m,n,k_blocks,weight_layout,activation_layout,before_cycles,after_cycles,delta_cycles,delta_percent
0,1,1,5,2,1,1,314,314,0,0.0
1,1,4,7,2,2,2,876,876,0,0.0
2,2,3,3,2,1,1,537,537,0,0.0
3,2,4,8,3,2,2,1289,1289,0,0.0
4,1,1,9,3,2,1,570,570,0,0.0
5,3,1,5,3,1,1,169,169,0,0.0
6,3,4,7,4,2,2,419,419,0,0.0
7,3,1,1,65,1,1,1586,1586,0,0.0
8,4,1,5,2,1,1,330,330,0,0.0
9,4,4,7,3,2,2,1286,1286,0,0.0
10,5,1,5,2,1,1,296,296,0,0.0
11,5,4,7,3,2,2,1202,1202,0,0.0
12,6,1,5,3,1,1,174,174,0,0.0
13,6,4,7,4,2,2,423,423,0,0.0
14,1,2,3,2,2,1,346,346,0,0.0
15,3,3,5,3,2,1,261,261,0,0.0
16,7,1,5,2,1,1,290,290,0,0.0
17,7,4,7,3,2,2,1217,1217,0,0.0
18,8,1,5,3,1,1,171,171,0,0.0
19,8,4,7,4,2,2,420,420,0,0.0
20,9,1,5,3,1,1,169,169,0,0.0
21,9,4,7,4,2,2,419,419,0,0.0
22,1,5,15,1,2,3,963,963,0,0.0
23,2,8,16,1,2,3,1366,1366,0,0.0
24,1,6,11,1,2,3,873,873,0,0.0
25,2,7,13,1,2,3,1325,1325,0,0.0
26,4,8,9,1,2,3,1063,1063,0,0.0
27,5,5,16,1,2,3,949,949,0,0.0
28,6,8,7,1,2,3,251,251,0,0.0
29,3,6,12,1,2,3,301,301,0,0.0
30,7,7,15,1,2,3,1338,1338,0,0.0
31,8,8,16,1,2,3,476,476,0,0.0
32,9,5,11,1,2,3,248,248,0,0.0
