case,profile,m,n,k_blocks,weight_layout,activation_layout,cycles
0,1,1,5,2,1,1,314
1,1,4,7,2,2,2,876
2,2,3,3,2,1,1,537
3,2,4,8,3,2,2,1289
4,1,1,9,3,2,1,570
5,3,1,5,3,1,1,169
6,3,4,7,4,2,2,419
7,3,1,1,65,1,1,1586
8,4,1,5,2,1,1,330
9,4,4,7,3,2,2,1286
10,5,1,5,2,1,1,296
11,5,4,7,3,2,2,1202
12,6,1,5,3,1,1,174
13,6,4,7,4,2,2,423
14,1,2,3,2,2,1,346
15,3,3,5,3,2,1,261
16,7,1,5,2,1,1,290
17,7,4,7,3,2,2,1217
18,8,1,5,3,1,1,171
19,8,4,7,4,2,2,420
20,9,1,5,3,1,1,169
21,9,4,7,4,2,2,419
22,1,5,15,1,2,3,963
23,2,8,16,1,2,3,1366
24,1,6,11,1,2,3,873
25,2,7,13,1,2,3,1325
26,4,8,9,1,2,3,1063
27,5,5,16,1,2,3,949
28,6,8,7,1,2,3,251
29,3,6,12,1,2,3,301
30,7,7,15,1,2,3,1338
31,8,8,16,1,2,3,476
32,9,5,11,1,2,3,248
